left_context,Candidate_words,right_context,target_status 
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three","sevenths.""","""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths.""","""Only","three sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only",three,"sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three","sevenths?""","said Kate, pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?""",said,"Kate, pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said","Kate,","pretending to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate,",pretending,"to look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending",to,"look disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to",look,"disappointed. ""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look",disappointed.,"""And here I was prepared to be impressed. <end>",0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed.","""And",here I was prepared to be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And",here,I was prepared to be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here",I,was prepared to be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I",was,prepared to be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I was",prepared,to be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared",to,be impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared to",be,impressed. <end>,0
"<start> You've read half the books in this house? This whole house?"" ""Well, approximately half."" Sticky said. ""To be more accurate, I suppose I've read more like"" - his eyes went up as he calculated - ""three sevenths? Yes, three sevenths."" ""Only three sevenths?"" said Kate, pretending to look disappointed. ""And here I was prepared to be",impressed.,<end>,0
<start>,Who,"cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
<start> Who,cares,"even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
<start> Who cares,even,"if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
<start> Who cares even,if,"I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
<start> Who cares even if,I,"didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
<start> Who cares even if I,"didn't?!""","Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!""",Conor,"shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor",shouted,"back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted",back.,"""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back.","""They're","just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're",just,"stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just",stupid,"berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid",berries.,"Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries.","Woo-hoo,","<em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo,",<em>so,"scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so",scary</em>.,"Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>.","Oh,","please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh,","please,","please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please,","please,","save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please,",save,"me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save",me,"from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me",from,"the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from",the,"<em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the","<em>berries</em>!""","The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!""",The,"monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The",monster,"looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",1
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster",looked,"at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked",at,"him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at",him,"quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him",quizzically.,"<em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically.",<em>How,"strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How","strange</em>,","it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>,",it,"said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it",said.,"<em>The words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said.",<em>The,"words you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The",words,"you say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words",you,"say tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you",say,"tell me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say",tell,"me you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell",me,"you are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me",you,"are scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you",are,"scared of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are",scared,"of the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared",of,"the berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of",the,"berries, but your actions seems to suggest otherwise.</em> <end>",0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the","berries,",but your actions seems to suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries,",but,your actions seems to suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but",your,actions seems to suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your",actions,seems to suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions",seems,to suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems",to,suggest otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to",suggest,otherwise.</em> <end>,0
"<start> Who cares even if I didn't?!"" Conor shouted back. ""They're just stupid berries. Woo-hoo, <em>so scary</em>. Oh, please, please, save me from the <em>berries</em>!"" The monster looked at him quizzically. <em>How strange</em>, it said. <em>The words you say tell me you are scared of the berries, but your actions seems to suggest",otherwise.</em>,<end>,0
<start>,I’m,sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m,sure,I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure,I,have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I,have,no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have,no,idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no,idea,what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea,what,you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what,you,are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,1
<start> I’m sure I have no idea what you,are,talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are,talking,about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking,about,PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about,PRINCESS.”,He tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.”,He,tilted his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He,tilted,his head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted,his,head and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his,head,and half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head,and,half curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and,half,curtseyed when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half,curtseyed,when he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed,when,he said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when,he,said the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he,said,the last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said,the,last word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the,last,word. “That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last,word.,“That! That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word.,“That!,That is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That!,That,is what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
<start> I’m sure I have no idea what you are talking about PRINCESS.” He tilted his head and half curtseyed when he said the last word. “That! That,is,what I am talking about. Since we ran into the others you have been cold and more arrogant than usual.” She kept her voice low so the others would not hear. “Is that so? I would say I was averagely arrogant <end>,0
